x,AM0,AM0C,AM15,AM15C,
914,8.98E-01,984.3723679,5.87E-01,636.4235316,\\
915,8.88E-01,985.2603679,6.36E-01,637.0595316,\\
916,8.95E-01,986.1553679,5.41E-01,637.6005316,\\
917,8.89E-01,987.0443679,6.84E-01,638.2845316,\\
918,8.88E-01,987.9323679,5.56E-01,638.8405316,\\
919,8.92E-01,988.8243679,6.92E-01,639.5325316,\\
920,8.85E-01,989.7093679,6.97E-01,640.2295316,\\
921,8.70E-01,990.5793679,7.30E-01,640.9595316,\\
922,8.63E-01,991.4423679,6.56E-01,641.6155316,\\
923,8.33E-01,992.2753679,6.97E-01,642.3125316,\\
924,8.70E-01,993.1453679,6.76E-01,642.9885316,\\
925,8.76E-01,994.0213679,6.66E-01,643.6545316,\\
926,8.46E-01,994.8673679,6.59E-01,644.3135316,\\
927,8.78E-01,995.7453679,7.37E-01,645.0505316,\\
928,8.71E-01,996.6163679,5.54E-01,645.6045316,\\
929,8.70E-01,997.4863679,5.18E-01,646.1225316,\\
930,8.69E-01,998.3553679,4.07E-01,646.5295316,\\
931,8.71E-01,999.2263679,3.85E-01,646.9145316,\\
932,8.65E-01,1000.091368,2.84E-01,647.1985316,\\
933,8.70E-01,1000.961368,2.35E-01,647.4335316,\\
934,8.67E-01,1001.828368,1.36E-01,647.5695316,\\
935,8.56E-01,1002.684368,2.37E-01,647.8065316,\\
936,8.52E-01,1003.536368,1.53E-01,647.9595316,\\
937,8.54E-01,1004.390368,1.55E-01,648.1145316,\\
938,8.59E-01,1005.249368,1.90E-01,648.3045316,\\
939,8.57E-01,1006.106368,3.76E-01,648.6805316,\\
940,8.40E-01,1006.946368,4.44E-01,649.1245316,\\
941,8.32E-01,1007.778368,3.51E-01,649.4755316,\\
942,8.06E-01,1008.584368,3.82E-01,649.8575316,\\
943,8.38E-01,1009.422368,2.63E-01,650.1205316,\\
944,8.19E-01,1010.241368,2.70E-01,650.3905316,\\
945,8.24E-01,1011.065368,3.47E-01,650.7375316,\\
946,8.31E-01,1011.896368,1.84E-01,650.9215316,\\
947,8.28E-01,1012.724368,3.50E-01,651.2715316,\\
948,8.31E-01,1013.555368,2.59E-01,651.5305316,\\
949,8.33E-01,1014.388368,4.65E-01,651.9955316,\\
950,8.29E-01,1015.217368,1.39E-01,652.1345316,\\
951,8.20E-01,1016.037368,4.56E-01,652.5905316,\\
952,8.24E-01,1016.861368,2.54E-01,652.8445316,\\
953,8.21E-01,1017.682368,3.24E-01,653.1685316,\\
954,8.12E-01,1018.494368,4.00E-01,653.5685316,\\
955,7.69E-01,1019.263368,3.22E-01,653.8905316,\\
956,8.02E-01,1020.065368,3.10E-01,654.2005316,\\
957,8.06E-01,1020.871368,2.56E-01,654.4565316,\\
958,8.11E-01,1021.682368,4.35E-01,654.8915316,\\
959,8.15E-01,1022.497368,3.53E-01,655.2445316,\\
960,8.06E-01,1023.303368,3.97E-01,655.6415316,\\
961,8.00E-01,1024.103368,4.35E-01,656.0765316,\\
962,8.02E-01,1024.905368,4.17E-01,656.4935316,\\
963,7.98E-01,1025.703368,4.76E-01,656.9695316,\\
964,7.88E-01,1026.491368,4.32E-01,657.4015316,\\
965,7.96E-01,1027.287368,4.75E-01,657.8765316,\\
966,7.86E-01,1028.073368,4.74E-01,658.3505316,\\
967,7.95E-01,1028.868368,4.74E-01,658.8245316,\\
968,7.85E-01,1029.653368,6.13E-01,659.4375316,\\
969,7.88E-01,1030.441368,6.45E-01,660.0825316,\\
970,7.91E-01,1031.232368,5.97E-01,660.6795316,\\
971,7.82E-01,1032.014368,6.71E-01,661.3505316,\\
972,7.88E-01,1032.802368,6.46E-01,661.9965316,\\
973,7.81E-01,1033.583368,5.71E-01,662.5675316,\\
974,7.69E-01,1034.352368,5.42E-01,663.1095316,\\
975,7.73E-01,1035.125368,5.55E-01,663.6645316,\\
976,7.81E-01,1035.906368,5.39E-01,664.2035316,\\
977,7.72E-01,1036.678368,6.01E-01,664.8045316,\\
978,7.78E-01,1037.456368,5.79E-01,665.3835316,\\
979,7.67E-01,1038.223368,6.00E-01,665.9835316,\\
980,7.75E-01,1038.998368,5.69E-01,666.5525316,\\
981,7.73E-01,1039.771368,6.71E-01,667.2235316,\\
