P,T,hf,hfg9010,hfg8020,hfg7030,hfg6040,hfg5050,hfg4060,hfg3070,hfg2080,hfg1090,hg,sf,sfg9010,sfg8020,sfg7030,sfg6040,sfg5050,sfg4060,sfg3070,sfg2080,sfg1090,sg
550,18.754,77.57,95.907,114.244,132.581,150.918,169.255,187.592,205.929,224.266,242.603,260.94,0.29468,0.3575,0.42032,0.48314,0.54596,0.60878,0.6716,0.73442,0.79724,0.86006,0.92288
560,19.332,78.38,96.667,114.954,133.241,151.528,169.815,188.102,206.389,224.676,242.963,261.25,0.29748,0.36,0.42252,0.48504,0.54756,0.61008,0.6726,0.73512,0.79764,0.86016,0.92268
570,19.903,79.18,97.417,115.654,133.891,152.128,170.365,188.602,206.839,225.076,243.313,261.55,0.30018,0.36241,0.42464,0.48687,0.5491,0.61133,0.67356,0.73579,0.79802,0.86025,0.92248
580,20.467,79.97,98.157,116.344,134.531,152.718,170.905,189.092,207.279,225.466,243.653,261.84,0.30288,0.36482,0.42676,0.4887,0.55064,0.61258,0.67452,0.73646,0.7984,0.86034,0.92228
590,21.023,80.76,98.897,117.034,135.171,153.308,171.445,189.582,207.719,225.856,243.993,262.13,0.30548,0.36714,0.4288,0.49046,0.55212,0.61378,0.67544,0.7371,0.79876,0.86042,0.92208
600,21.572,81.53,99.619,117.708,135.797,153.886,171.975,190.064,208.153,226.242,244.331,262.42,0.30808,0.36946,0.43084,0.49222,0.5536,0.61498,0.67636,0.73774,0.79912,0.8605,0.92188
610,22.114,82.3,100.34,118.38,136.42,154.46,172.5,190.54,208.58,226.62,244.66,262.7,0.31068,0.37178,0.43288,0.49398,0.55508,0.61618,0.67728,0.73838,0.79948,0.86058,0.92168
620,22.649,83.06,101.052,119.044,137.036,155.028,173.02,191.012,209.004,226.996,244.988,262.98,0.31318,0.37401,0.43484,0.49567,0.5565,0.61733,0.67816,0.73899,0.79982,0.86065,0.92148
630,23.178,83.81,101.754,119.698,137.642,155.586,173.53,191.474,209.418,227.362,245.306,263.25,0.31568,0.37624,0.4368,0.49736,0.55792,0.61848,0.67904,0.7396,0.80016,0.86072,0.92128
640,23.701,84.55,102.447,120.344,138.241,156.138,174.035,191.932,209.829,227.726,245.623,263.52,0.31818,0.37847,0.43876,0.49905,0.55934,0.61963,0.67992,0.74021,0.8005,0.86079,0.92108
650,24.217,85.28,103.131,120.982,138.833,156.684,174.535,192.386,210.237,228.088,245.939,263.79,0.32058,0.38061,0.44064,0.50067,0.5607,0.62073,0.68076,0.74079,0.80082,0.86085,0.92088
660,24.728,86.01,103.814,121.618,139.422,157.226,175.03,192.834,210.638,228.442,246.246,264.05,0.32298,0.38275,0.44252,0.50229,0.56206,0.62183,0.6816,0.74137,0.80114,0.86091,0.92068
670,25.232,86.73,104.487,122.244,140.001,157.758,175.515,193.272,211.029,228.786,246.543,264.3,0.32538,0.38489,0.4444,0.50391,0.56342,0.62293,0.68244,0.74195,0.80146,0.86097,0.92048
680,25.731,87.44,105.151,122.862,140.573,158.284,175.995,193.706,211.417,229.128,246.839,264.55,0.32778,0.38704,0.4463,0.50556,0.56482,0.62408,0.68334,0.7426,0.80186,0.86112,0.92038
690,26.225,88.14,105.806,123.472,141.138,158.804,176.47,194.136,211.802,229.468,247.134,264.8,0.33008,0.38909,0.4481,0.50711,0.56612,0.62513,0.68414,0.74315,0.80216,0.86117,0.92018
700,26.713,88.84,106.461,124.082,141.703,159.324,176.945,194.566,212.187,229.808,247.429,265.05,0.33238,0.39114,0.4499,0.50866,0.56742,0.62618,0.68494,0.7437,0.80246,0.86122,0.91998
710,27.196,89.54,107.115,124.69,142.265,159.84,177.415,194.99,212.565,230.14,247.715,265.29,0.33468,0.3932,0.45172,0.51024,0.56876,0.62728,0.6858,0.74432,0.80284,0.86136,0.91988
720,27.674,90.22,107.751,125.282,142.813,160.344,177.875,195.406,212.937,230.468,247.999,265.53,0.33688,0.39516,0.45344,0.51172,0.57,0.62828,0.68656,0.74484,0.80312,0.8614,0.91968
730,28.147,90.9,108.386,125.872,143.358,160.844,178.33,195.816,213.302,230.788,248.274,265.76,0.33918,0.39721,0.45524,0.51327,0.5713,0.62933,0.68736,0.74539,0.80342,0.86145,0.91948
740,28.615,91.57,109.012,126.454,143.896,161.338,178.78,196.222,213.664,231.106,248.548,265.99,0.34138,0.39918,0.45698,0.51478,0.57258,0.63038,0.68818,0.74598,0.80378,0.86158,0.91938
750,29.078,92.24,109.638,127.036,144.434,161.832,179.23,196.628,214.026,231.424,248.822,266.22,0.34358,0.40114,0.4587,0.51626,0.57382,0.63138,0.68894,0.7465,0.80406,0.86162,0.91918
760,29.537,92.9,110.254,127.608,144.962,162.316,179.67,197.024,214.378,231.732,249.086,266.44,0.34568,0.40302,0.46036,0.5177,0.57504,0.63238,0.68972,0.74706,0.8044,0.86174,0.91908
770,29.991,93.56,110.87,128.18,145.49,162.8,180.11,197.42,214.73,232.04,249.35,266.66,0.34788,0.40498,0.46208,0.51918,0.57628,0.63338,0.69048,0.74758,0.80468,0.86178,0.91888
780,30.441,94.21,111.477,128.744,146.011,163.278,180.545,197.812,215.079,232.346,249.613,266.88,0.34998,0.40685,0.46372,0.52059,0.57746,0.63433,0.6912,0.74807,0.80494,0.86181,0.91868
