days,T,bt15_5,bt18_5
22.83333333,8.716666667,15.5,18.5
22.875,8.766666667,15.5,18.5
22.91666667,8.616666667,15.5,18.5
22.95833333,8.866666667,15.5,18.5
23,8.65,15.5,18.5
23.04166667,8.4,15.5,18.5
23.08333333,8.3,15.5,18.5
23.125,8.433333333,15.5,18.5
23.16666667,8.566666667,15.5,18.5
23.20833333,9.883333333,15.5,18.5
23.25,12.98333333,15.5,18.5
23.29166667,16.11666667,15.5,18.5
23.33333333,17.3,15.5,18.5
23.375,18.21666667,15.5,18.5
23.41666667,16.68333333,15.5,18.5
23.45833333,15.86666667,15.5,18.5
23.5,15.35,15.5,18.5
23.54166667,15.86666667,15.5,18.5
23.58333333,14.53333333,15.5,18.5
23.625,11.91666667,15.5,18.5
23.66666667,10.63333333,15.5,18.5
23.70833333,9.85,15.5,18.5
23.75,9.416666667,15.5,18.5
23.79166667,9.4,15.5,18.5
23.83333333,8.983333333,15.5,18.5
23.875,8.766666667,15.5,18.5
23.91666667,8.516666667,15.5,18.5
23.95833333,8.283333333,15.5,18.5
24,7.7,15.5,18.5
24.04166667,7.2,15.5,18.5
24.08333333,7.116666667,15.5,18.5
24.125,7.533333333,15.5,18.5
24.16666667,7.666666667,15.5,18.5
24.20833333,7.666666667,15.5,18.5
24.25,9.216666667,15.5,18.5
24.29166667,11.95,15.5,18.5
24.33333333,13.38333333,15.5,18.5
24.375,14.25,15.5,18.5
24.41666667,14.7,15.5,18.5
24.45833333,15.18333333,15.5,18.5
24.5,14.68333333,15.5,18.5
24.54166667,13.95,15.5,18.5
24.58333333,12.9,15.5,18.5
24.625,10.15,15.5,18.5
24.66666667,8.9,15.5,18.5
24.70833333,7.733333333,15.5,18.5
24.75,7.4,15.5,18.5
24.79166667,7.033333333,15.5,18.5
24.83333333,6.65,15.5,18.5
24.875,6.15,15.5,18.5
24.91666667,6.283333333,15.5,18.5
24.95833333,6.033333333,15.5,18.5
25,5.716666667,15.5,18.5
25.04166667,5.416666667,15.5,18.5
25.08333333,5.233333333,15.5,18.5
25.125,4.95,15.5,18.5
25.16666667,4.816666667,15.5,18.5
25.20833333,5.3,15.5,18.5
25.25,11.15,15.5,18.5
25.29166667,16.36666667,15.5,18.5
25.33333333,19.13333333,15.5,18.5
25.375,21.63333333,15.5,18.5
25.41666667,19.35,15.5,18.5
25.45833333,18.51666667,15.5,18.5
25.5,16.36666667,15.5,18.5
25.54166667,15.05,15.5,18.5
25.58333333,14.18333333,15.5,18.5
25.625,11.61666667,15.5,18.5
25.66666667,8.866666667,15.5,18.5
25.70833333,8.183333333,15.5,18.5
25.75,8.516666667,15.5,18.5
25.79166667,8.233333333,15.5,18.5
25.83333333,8.416666667,15.5,18.5
25.875,8.133333333,15.5,18.5
25.91666667,8.166666667,15.5,18.5
25.95833333,8.016666667,15.5,18.5
26,7.566666667,15.5,18.5
26.04166667,7.433333333,15.5,18.5
26.08333333,7.433333333,15.5,18.5
26.125,7.3,15.5,18.5
26.16666667,7.05,15.5,18.5
26.20833333,7.866666667,15.5,18.5
26.25,11.53333333,15.5,18.5
26.29166667,14.18333333,15.5,18.5
26.33333333,15.98333333,15.5,18.5
26.375,17.33333333,15.5,18.5
26.41666667,17.06666667,15.5,18.5
26.45833333,16.7,15.5,18.5
26.5,15.23333333,15.5,18.5
26.54166667,15.46666667,15.5,18.5
26.58333333,16.36666667,15.5,18.5
26.625,12.33333333,15.5,18.5
26.66666667,10.35,15.5,18.5
26.70833333,9,15.5,18.5
26.75,8.1,15.5,18.5
26.79166667,7.633333333,15.5,18.5
26.83333333,7.5,15.5,18.5
26.875,7.583333333,15.5,18.5
26.91666667,7.133333333,15.5,18.5
26.95833333,7.416666667,15.5,18.5
27,8.566666667,15.5,18.5
27.04166667,8.266666667,15.5,18.5
27.08333333,7.683333333,15.5,18.5
27.125,7.316666667,15.5,18.5
27.16666667,7.316666667,15.5,18.5
27.20833333,7.7,15.5,18.5
27.25,12.2,15.5,18.5
27.29166667,15.05,15.5,18.5
27.33333333,15.33333333,15.5,18.5
27.375,16.05,15.5,18.5
27.41666667,13.81666667,15.5,18.5
27.45833333,13.95,15.5,18.5
27.5,14.46666667,15.5,18.5
27.54166667,13.95,15.5,18.5
27.58333333,12.53333333,15.5,18.5
27.625,11.23333333,15.5,18.5
27.66666667,10.46666667,15.5,18.5
27.70833333,9.916666667,15.5,18.5
27.75,10.05,15.5,18.5
27.79166667,9.783333333,15.5,18.5
27.83333333,9.316666667,15.5,18.5
27.875,8.566666667,15.5,18.5
27.91666667,8.1,15.5,18.5
27.95833333,7.766666667,15.5,18.5
28,7.283333333,15.5,18.5
28.04166667,6.883333333,15.5,18.5
28.08333333,6.65,15.5,18.5
28.125,6.733333333,15.5,18.5
28.16666667,6.933333333,15.5,18.5
28.20833333,7.3,15.5,18.5
28.25,8.483333333,15.5,18.5
28.29166667,12.13333333,15.5,18.5
28.33333333,14.11666667,15.5,18.5
28.375,13.45,15.5,18.5
